,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586897.850637,1.777854561805725,4.0,0.8095238208770752,0.5,1697586897.850637,1697586910.2251024,21.0,17.0
1697586910.5459414,1.8903905153274536,4.0,1.0,0.5,1697586910.5459414,1697586922.7127395,22.0,22.0
1697586923.128612,1.5223782062530518,4.0,1.0,0.5,1697586923.128612,1697586935.6090848,18.0,18.0
1697586935.9338293,1.5599640607833862,4.0,1.0,0.5,1697586935.9338293,1697586948.1135974,17.0,17.0
1697586948.558954,1.5757007598876953,4.0,1.0,0.5,1697586948.558954,1697586960.6170812,18.0,18.0
1697586960.8527417,1.4751337766647339,4.0,1.0,0.5,1697586960.8527417,1697586972.37712,15.0,15.0
1697586972.826545,1.13157320022583,4.0,1.0,0.5,1697586972.826545,1697586984.3149755,12.0,12.0
1697586984.6104348,1.0720828771591187,4.0,1.0,0.5,1697586984.6104348,1697586996.7363625,11.0,11.0
1697586997.206405,1.6459965705871582,4.0,1.0,0.5,1697586997.206405,1697587008.1420293,18.0,18.0
1697587008.897525,1.2337440252304077,4.0,1.0,0.5,1697587008.897525,1697587020.2450979,13.0,13.0
1697587020.8500764,1.0122343301773071,4.0,1.0,0.5,1697587020.8500764,1697587031.717126,10.0,10.0
1697587032.1249187,0.7758485078811646,4.0,1.0,0.5,1697587032.1249187,1697587043.7251213,9.0,9.0
1697587043.9114099,1.4020837545394897,4.0,1.0,0.5,1697587043.9114099,1697587054.6097724,13.0,13.0
1697587055.0513299,1.1043654680252075,4.0,1.0,0.5,1697587055.0513299,1697587065.9172976,12.0,12.0
1697587066.1797564,1.2339842319488525,4.0,1.0,0.5,1697587066.1797564,1697587077.52512,12.0,12.0
1697587077.864919,1.1715068817138672,4.0,1.0,0.5,1697587077.864919,1697587088.9617383,13.0,13.0
1697587089.3438532,1.9306261539459229,4.0,1.0,0.5,1697587089.3438532,1697587100.2211533,18.0,18.0
1697587100.6570072,1.5758557319641113,4.0,1.0,0.5,1697587100.6570072,1697587112.7139482,18.0,18.0
1697587112.9708776,1.162794589996338,4.0,1.0,0.5,1697587112.9708776,1697587124.15084,13.0,13.0
1697587124.59458,1.7858707904815674,4.0,1.0,0.5,1697587124.59458,1697587135.7935984,18.0,18.0
1697587136.3097172,1.6603484153747559,4.0,1.0,0.5,1697587136.3097172,1697587147.7530987,17.0,17.0
1697587147.9620142,1.1076487302780151,4.0,1.0,0.5,1697587147.9620142,1697587158.7957742,10.0,10.0
1697587159.2069774,0.6290260553359985,4.0,1.0,0.5,1697587159.2069774,1697587170.335292,7.0,7.0
1697587170.9690206,1.1012635231018066,4.0,1.0,0.5,1697587170.9690206,1697587181.865595,10.0,10.0
1697587182.4328973,1.1631386280059814,4.0,1.0,0.5,1697587182.4328973,1697587193.6095526,13.0,13.0
1697587193.974173,0.9780338406562805,4.0,1.0,0.5,1697587193.974173,1697587205.221228,8.0,8.0
1697587217.028784,1.1882567405700684,2.0,1.0,0.5,1697587217.028784,1697587227.9691803,13.0,13.0
1697587228.4015694,1.0603761672973633,2.0,1.0,0.5,1697587228.4015694,1697587239.7183087,11.0,11.0
1697587240.412053,1.5156199932098389,2.0,1.0,0.5,1697587240.412053,1697587251.628585,16.0,16.0
1697587251.8020627,0.40067195892333984,2.0,1.0,0.5,1697587251.8020627,1697587264.281099,5.0,5.0
1697587264.4871495,0.9438555836677551,2.0,1.0,0.5,1697587264.4871495,1697587275.0819905,10.0,10.0
1697587275.5029778,0.5537647604942322,2.0,1.0,0.5,1697587275.5029778,1697587286.3379035,5.0,5.0
