,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586910.0681474,7.384870529174805,3.0,0.4954128563404083,0.5,1697586910.0681474,1697586925.5051136,109.0,54.0
1697586925.7779672,7.5004119873046875,3.0,0.2338709682226181,0.5,1697586925.7779672,1697586943.9103045,124.0,29.0
1697586944.4943159,8.86648941040039,3.0,0.06338027864694595,0.5,1697586944.4943159,1697586964.4571211,142.0,9.0
1697586964.853688,10.192179679870605,3.0,0.05797101557254791,0.5,1697586964.853688,1697586987.5181239,138.0,8.0
1697586988.027721,9.439192771911621,3.0,0.06474819779396057,0.5,1697586988.027721,1697587012.18233,139.0,9.0
1697587013.1495485,9.63616943359375,3.0,0.05882352963089943,0.5,1697587013.1495485,1697587033.6971333,136.0,8.0
1697587034.0111947,8.578600883483887,3.0,0.06382978707551956,0.5,1697587034.0111947,1697587054.0610845,141.0,9.0
1697587054.902645,8.08150863647461,3.0,0.06382978707551956,0.5,1697587054.902645,1697587078.4131076,141.0,9.0
1697587079.7966766,10.283405303955078,3.0,0.06617647409439087,0.5,1697587079.7966766,1697587104.9828873,136.0,9.0
1697587105.6414657,9.144816398620605,3.0,0.05714285746216774,0.5,1697587105.6414657,1697587127.293075,140.0,8.0
1697587128.8537567,9.36548137664795,3.0,0.06474819779396057,0.5,1697587128.8537567,1697587152.1307225,139.0,9.0
1697587152.9528584,10.806236267089844,3.0,0.05882352963089943,0.5,1697587152.9528584,1697587176.642883,136.0,8.0
1697587177.030227,10.930571556091309,3.0,0.06617647409439087,0.5,1697587177.030227,1697587200.7252364,136.0,9.0
1697587225.740489,11.017827033996582,1.0,0.07407407462596893,0.5,1697587225.740489,1697587245.3450806,81.0,6.0
1697587245.8155522,12.889435768127441,1.0,0.06172839552164078,0.5,1697587245.8155522,1697587257.0650747,81.0,5.0
1697587257.4902968,9.83965015411377,1.0,0.06976744532585144,0.5,1697587257.4902968,1697587275.3771122,86.0,6.0
1697587275.9330013,9.312158584594727,1.0,0.06818182021379471,0.5,1697587275.9330013,1697587294.4034765,88.0,6.0
1697587294.6574998,10.601305961608887,1.0,0.07058823853731155,0.5,1697587294.6574998,1697587313.1457872,85.0,6.0
1697587313.808571,12.110360145568848,1.0,0.06976744532585144,0.5,1697587313.808571,1697587330.9013736,86.0,6.0
1697587331.2499843,11.224647521972656,1.0,0.06818182021379471,0.5,1697587331.2499843,1697587347.6424809,88.0,6.0
1697587348.0562303,12.210622787475586,1.0,0.07228915393352509,0.5,1697587348.0562303,1697587366.2371216,83.0,6.0
1697587382.4123552,11.594744682312012,4.0,0.2827586233615875,0.5,1697587382.4123552,1697587395.9529722,145.0,41.0
1697587396.4710197,10.726863861083984,4.0,0.0648648664355278,0.5,1697587396.4710197,1697587421.9211423,185.0,12.0
1697587423.0590744,10.964041709899902,4.0,0.06417112052440643,0.5,1697587423.0590744,1697587449.5091753,187.0,12.0
1697587450.5283597,9.263372421264648,4.0,0.07692307978868484,0.5,1697587450.5283597,1697587475.8970907,195.0,15.0
1697587476.4238884,9.516343116760254,4.0,0.06315789371728897,0.5,1697587476.4238884,1697587507.5282726,190.0,12.0
1697587536.168191,8.946548461914062,7.0,0.18534483015537262,0.46423834562301636,1697587536.168191,1697587562.882404,232.0,43.0
1697587563.4264174,7.720096111297607,7.0,0.17499999701976776,0.4564354717731476,1697587563.4264174,1697587595.291305,240.0,42.0
1697587595.9890196,7.146595001220703,7.0,0.12145748734474182,0.44992128014564514,1697587595.9890196,1697587630.9707148,247.0,30.0
1697587631.1922412,7.221388339996338,7.0,1.0,0.5,1697587631.1922412,1697587644.0706515,83.0,83.0
1697587644.513039,6.115448474884033,7.0,0.5169491767883301,0.5,1697587644.513039,1697587664.7895567,118.0,61.0
1697587687.0496044,6.510682106018066,5.0,0.1428571492433548,0.5,1697587687.0496044,1697587712.8533525,161.0,23.0
1697587713.2252872,5.9394073486328125,5.0,0.21250000596046448,0.5,1697587713.2252872,1697587740.6691024,160.0,34.0
