,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586908.4550993,4.37999963760376,3.0,0.698113203048706,0.5,1697586908.4550993,1697586921.6971092,53.0,37.0
1697586922.403285,4.604828357696533,3.0,0.782608687877655,0.5,1697586922.403285,1697586933.6957793,46.0,36.0
1697586934.4992514,3.8577966690063477,3.0,0.8727272748947144,0.5,1697586934.4992514,1697586949.5337398,55.0,48.0
1697586949.7648964,5.485023498535156,3.0,0.4938271641731262,0.5,1697586949.7648964,1697586965.079325,81.0,40.0
1697586966.5753064,5.170586585998535,3.0,0.4683544337749481,0.5,1697586966.5753064,1697586982.627644,79.0,37.0
1697586983.1599565,4.478640079498291,3.0,0.39240506291389465,0.5,1697586983.1599565,1697587001.469085,79.0,31.0
1697587001.8330784,5.234653949737549,3.0,0.37755101919174194,0.5,1697587001.8330784,1697587021.3186069,98.0,37.0
1697587021.8827863,4.437973976135254,3.0,0.5873016119003296,0.5,1697587021.8827863,1697587037.2050936,63.0,37.0
1697587038.005765,3.8511619567871094,3.0,0.6393442749977112,0.5,1697587038.005765,1697587055.1434495,61.0,39.0
1697587055.5531592,4.011788368225098,3.0,0.6290322542190552,0.5,1697587055.5531592,1697587072.2539399,62.0,39.0
1697587073.0324166,5.581795692443848,3.0,0.48148149251937866,0.5,1697587073.0324166,1697587088.977106,81.0,39.0
1697587089.2926433,5.18248987197876,3.0,0.3100000023841858,0.5,1697587089.2926433,1697587109.5531747,100.0,31.0
1697587109.9313486,4.652327060699463,3.0,0.3404255211353302,0.5,1697587109.9313486,1697587130.7811303,94.0,32.0
1697587131.1878872,4.075835704803467,3.0,0.5199999809265137,0.5,1697587131.1878872,1697587151.0611112,75.0,39.0
1697587151.5637448,4.9286041259765625,3.0,0.3717948794364929,0.5,1697587151.5637448,1697587167.998418,78.0,29.0
1697587168.3555734,5.173378944396973,3.0,0.42168673872947693,0.5,1697587168.3555734,1697587185.1724358,83.0,35.0
1697587186.2858276,4.582429885864258,3.0,0.40963855385780334,0.5,1697587186.2858276,1697587205.2713888,83.0,34.0
1697587224.1403253,3.8615119457244873,5.0,0.7543859481811523,0.5,1697587224.1403253,1697587240.9731107,57.0,43.0
1697587241.3217967,4.740304470062256,5.0,0.982758641242981,0.5,1697587241.3217967,1697587255.0339963,58.0,57.0
1697587255.3463438,4.535253524780273,5.0,1.0,0.5,1697587255.3463438,1697587267.47356,49.0,49.0
1697587267.8932536,2.8259482383728027,5.0,0.7560975551605225,0.5,1697587267.8932536,1697587283.8171122,41.0,31.0
1697587284.4333096,4.786851406097412,5.0,0.8852459192276001,0.5,1697587284.4333096,1697587299.0567007,61.0,54.0
1697587299.7453728,4.092563629150391,5.0,0.5384615659713745,0.5,1697587299.7453728,1697587316.6052203,65.0,35.0
1697587317.688644,4.402789115905762,5.0,0.577464759349823,0.5,1697587317.688644,1697587334.0419142,71.0,41.0
1697587334.49152,2.9696736335754395,5.0,0.9743589758872986,0.5,1697587334.49152,1697587348.6344886,39.0,38.0
1697587349.1627426,4.430315971374512,5.0,0.875,0.5,1697587349.1627426,1697587362.9315119,56.0,49.0
1697587378.706221,4.42009973526001,1.0,0.5789473652839661,0.5,1697587378.706221,1697587392.7330537,57.0,33.0
1697587392.9775782,3.4467544555664062,1.0,0.3877550959587097,0.5,1697587392.9775782,1697587408.3543622,49.0,19.0
1697587410.1720867,4.381428241729736,1.0,0.2142857164144516,0.5,1697587410.1720867,1697587426.6050847,70.0,15.0
1697587426.9516816,3.5286176204681396,1.0,0.4333333373069763,0.5,1697587426.9516816,1697587445.0890958,60.0,26.0
