,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586896.520624,15.847332954406738,3.0,0.0,0.5,1697586896.520624,1697586908.5100229,120.0,0.0
1697586909.018268,19.991376876831055,3.0,0.06428571790456772,0.5,1697586909.018268,1697586929.4770892,140.0,9.0
1697586929.7924843,19.301973342895508,3.0,0.06382978707551956,0.5,1697586929.7924843,1697586948.806085,141.0,9.0
1697586949.2208958,18.314395904541016,3.0,0.0625,0.5,1697586949.2208958,1697586971.1708422,144.0,9.0
1697586972.2939146,18.652938842773438,3.0,0.062068965286016464,0.5,1697586972.2939146,1697586999.9571168,145.0,9.0
1697587000.576201,19.33780288696289,3.0,0.06293706595897675,0.5,1697587000.576201,1697587027.3113985,143.0,9.0
1697587027.7295318,18.51885414123535,3.0,0.05714285746216774,0.5,1697587027.7295318,1697587052.0290926,140.0,8.0
1697587052.953578,19.448972702026367,3.0,0.05970149114727974,0.5,1697587052.953578,1697587079.433127,134.0,8.0
1697587079.7379303,18.55199432373047,3.0,0.06474819779396057,0.5,1697587079.7379303,1697587101.2450523,139.0,9.0
1697587101.587696,18.74741554260254,3.0,0.06382978707551956,0.5,1697587101.587696,1697587122.0171778,141.0,9.0
1697587122.9358156,20.25461196899414,3.0,0.06293706595897675,0.5,1697587122.9358156,1697587145.3010914,143.0,9.0
1697587146.2787511,19.481271743774414,3.0,0.04477611929178238,0.5,1697587146.2787511,1697587172.2010834,134.0,6.0
1697587172.5954535,21.096540451049805,3.0,0.06521739065647125,0.5,1697587172.5954535,1697587195.869411,138.0,9.0
1697587222.642679,21.277780532836914,5.0,0.06578947603702545,0.46829289197921753,1697587222.642679,1697587245.859387,228.0,15.0
1697587246.7576041,20.60093879699707,5.0,0.05454545468091965,0.4767313003540039,1697587246.7576041,1697587281.853093,220.0,12.0
1697587282.5885289,21.31992530822754,5.0,0.05309734493494034,0.4703604280948639,1697587282.5885289,1697587317.673078,226.0,12.0
1697587318.9353821,19.68342399597168,5.0,0.06550218164920807,0.46726930141448975,1697587318.9353821,1697587350.6371849,229.0,15.0
1697587381.1137972,20.588512420654297,1.0,0.0,0.5,1697587381.1137972,1697587391.2650888,1.0,0.0
1697587531.609543,19.935564041137695,6.0,0.2606382966041565,0.5,1697587531.609543,1697587541.6920269,188.0,49.0
1697587542.056178,20.679424285888672,6.0,0.05970149114727974,0.4319342076778412,1697587542.056178,1697587563.768582,268.0,16.0
1697587564.7942095,21.10500144958496,6.0,0.0625,0.42874646186828613,1697587564.7942095,1697587600.8520145,272.0,17.0
1697587601.6467102,21.875688552856445,6.0,0.06405694037675858,0.42182454466819763,1697587601.6467102,1697587634.0571187,281.0,18.0
1697587634.4682124,19.977386474609375,6.0,0.06498195230960846,0.42485928535461426,1697587634.4682124,1697587671.1096427,277.0,18.0
1697587711.2189794,21.280502319335938,1.0,0.043478261679410934,0.5,1697587711.2189794,1697587726.9610894,69.0,3.0
1697587727.543641,21.096670150756836,1.0,0.05797101557254791,0.5,1697587727.543641,1697587740.7210758,69.0,4.0
1697587741.526155,23.25004005432129,1.0,0.0714285746216774,0.5,1697587741.526155,1697587759.0315018,70.0,5.0
1697587760.8591468,21.162843704223633,1.0,0.054794520139694214,0.5,1697587760.8591468,1697587777.681082,73.0,4.0
1697587778.1799428,21.641063690185547,1.0,0.07042253762483597,0.5,1697587778.1799428,1697587795.461903,71.0,5.0
1697587795.7465906,20.650846481323242,1.0,0.06410256773233414,0.5,1697587795.7465906,1697587812.1623833,78.0,5.0
1697587812.4358695,22.481178283691406,1.0,0.05882352963089943,0.5,1697587812.4358695,1697587832.497095,68.0,4.0
1697587833.138023,21.514583587646484,1.0,0.06329113990068436,0.5,1697587833.138023,1697587849.3130972,79.0,5.0
1697587866.7618377,18.361112594604492,2.0,0.06060606241226196,0.5,1697587866.7618377,1697587882.392698,99.0,6.0
1697587882.8608115,21.440372467041016,2.0,0.06060606241226196,0.5,1697587882.8608115,1697587901.6571264,99.0,6.0
1697587902.1919699,22.558849334716797,2.0,0.0714285746216774,0.5,1697587902.1919699,1697587922.317109,98.0,7.0
1697587922.7266686,20.06145668029785,2.0,0.07999999821186066,0.5,1697587922.7266686,1697587942.765094,100.0,8.0
1697587943.250667,19.714262008666992,2.0,0.06060606241226196,0.5,1697587943.250667,1697587962.627502,99.0,6.0
1697587963.0985794,21.349353790283203,2.0,0.07999999821186066,0.5,1697587963.0985794,1697587982.5371065,100.0,8.0
1697587983.8815663,21.55512046813965,2.0,0.07000000029802322,0.5,1697587983.8815663,1697588005.2222025,100.0,7.0
1697588027.850946,21.443721771240234,3.0,0.06164383515715599,0.5,1697588027.850946,1697588045.758285,146.0,9.0
1697588046.5896394,20.754409790039062,3.0,0.06122449040412903,0.5,1697588046.5896394,1697588071.789103,147.0,9.0
1697588072.4237404,20.996129989624023,3.0,0.05517241358757019,0.5,1697588072.4237404,1697588097.3330932,145.0,8.0
1697588097.6602376,19.89917755126953,3.0,0.07692307978868484,0.5,1697588097.6602376,1697588125.6010895,143.0,11.0
1697588125.8460176,20.096860885620117,3.0,0.06164383515715599,0.5,1697588125.8460176,1697588148.3868515,146.0,9.0
1697588177.554412,20.641345977783203,1.0,0.0,0.5,1697588177.554412,1697588197.1267793,68.0,0.0
