,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586910.4424868,13.6790132522583,4.0,0.0,0.5,1697586910.4424868,1697586922.7971792,154.0,0.0
1697586923.2183008,19.457992553710938,4.0,0.06451612710952759,0.5,1697586923.2183008,1697586945.1630101,186.0,12.0
1697586945.661164,16.50909996032715,4.0,0.0648648664355278,0.5,1697586945.661164,1697586970.1930876,185.0,12.0
1697586970.8863268,16.892316818237305,4.0,0.06010929122567177,0.5,1697586970.8863268,1697586995.0393188,183.0,11.0
1697586995.3439462,16.90138053894043,4.0,0.044692736119031906,0.5,1697586995.3439462,1697587021.8506563,179.0,8.0
1697587022.5738964,18.110122680664062,4.0,0.06417112052440643,0.5,1697587022.5738964,1697587044.93708,187.0,12.0
1697587069.8607168,18.378799438476562,3.0,0.04545454680919647,0.5,1697587069.8607168,1697587089.2852714,132.0,6.0
1697587089.6244948,16.139469146728516,3.0,0.06293706595897675,0.5,1697587089.6244948,1697587109.8234231,143.0,9.0
1697587110.1997182,15.892411231994629,3.0,0.06293706595897675,0.5,1697587110.1997182,1697587132.7891154,143.0,9.0
1697587133.0474563,17.723949432373047,3.0,0.0625,0.5,1697587133.0474563,1697587154.938739,144.0,9.0
1697587155.6466935,16.00017738342285,3.0,0.06474819779396057,0.5,1697587155.6466935,1697587178.1464434,139.0,9.0
1697587178.4774811,15.321678161621094,3.0,0.04477611929178238,0.5,1697587178.4774811,1697587197.66598,134.0,6.0
1697587217.4279847,13.621368408203125,1.0,0.05882352963089943,0.5,1697587217.4279847,1697587235.267602,85.0,5.0
1697587235.674606,14.481398582458496,1.0,0.05681818351149559,0.5,1697587235.674606,1697587252.8690774,88.0,5.0
1697587253.7707615,15.301506996154785,1.0,0.06976744532585144,0.5,1697587253.7707615,1697587270.827905,86.0,6.0
1697587271.1106935,14.44818115234375,1.0,0.0714285746216774,0.5,1697587271.1106935,1697587289.1752515,84.0,6.0
1697587289.483148,14.504729270935059,1.0,0.0602409653365612,0.5,1697587289.483148,1697587305.6158178,83.0,5.0
1697587306.0096087,15.1259126663208,1.0,0.06315789371728897,0.5,1697587306.0096087,1697587322.2730906,95.0,6.0
1697587322.5276222,14.195544242858887,1.0,0.054347824305295944,0.5,1697587322.5276222,1697587338.9412236,92.0,5.0
1697587339.279227,15.015861511230469,1.0,0.0736842080950737,0.5,1697587339.279227,1697587356.4610584,95.0,7.0
1697587374.5493855,14.609688758850098,4.0,0.049723755568265915,0.5,1697587374.5493855,1697587388.991856,181.0,9.0
1697587389.2735138,15.559450149536133,4.0,0.0416666679084301,0.5,1697587389.2735138,1697587411.7678823,192.0,8.0
1697587412.6786137,15.249825477600098,4.0,0.07216494530439377,0.5,1697587412.6786137,1697587437.728081,194.0,14.0
1697587438.483721,14.557231903076172,4.0,0.06382978707551956,0.5,1697587438.483721,1697587465.75539,188.0,12.0
1697587466.1991687,15.25853157043457,4.0,0.06735751032829285,0.5,1697587466.1991687,1697587489.9891388,193.0,13.0
1697587490.751365,14.575919151306152,4.0,0.060913704335689545,0.5,1697587490.751365,1697587515.0379975,197.0,12.0
1697587543.1649113,14.634637832641602,2.0,0.06060606241226196,0.5,1697587543.1649113,1697587564.3475332,99.0,6.0
1697587565.4694118,16.724382400512695,2.0,0.06956521421670914,0.5,1697587565.4694118,1697587585.2010815,115.0,8.0
1697587585.8005917,13.25377082824707,2.0,0.06481481343507767,0.5,1697587585.8005917,1697587605.4931006,108.0,7.0
1697587605.8745935,13.941215515136719,2.0,0.072727270424366,0.5,1697587605.8745935,1697587623.663573,110.0,8.0
1697587624.0516236,14.210472106933594,2.0,0.07920791953802109,0.5,1697587624.0516236,1697587642.770213,101.0,8.0
1697587643.3529992,14.893024444580078,2.0,0.059405941516160965,0.5,1697587643.3529992,1697587656.9835415,101.0,6.0
1697587657.554404,14.82567024230957,2.0,0.0535714291036129,0.5,1697587657.554404,1697587675.2264552,112.0,6.0
1697587691.648767,14.58531379699707,4.0,0.04324324429035187,0.5,1697587691.648767,1697587709.7491655,185.0,8.0
1697587710.178624,15.048070907592773,4.0,0.0824742242693901,0.5,1697587710.178624,1697587735.5639374,194.0,16.0
1697587736.3432817,11.969825744628906,4.0,0.0555555559694767,0.5,1697587736.3432817,1697587760.1531525,198.0,11.0
1697587760.633946,14.016587257385254,4.0,0.4394904375076294,0.5,1697587760.633946,1697587772.477057,157.0,69.0
1697587772.8659043,12.904196739196777,4.0,0.06557376682758331,0.5,1697587772.8659043,1697587795.029236,183.0,12.0
1697587796.086653,12.753052711486816,4.0,0.054644808173179626,0.5,1697587796.086653,1697587820.316146,183.0,10.0
1697587820.7581286,12.470511436462402,4.0,0.0615384615957737,0.5,1697587820.7581286,1697587842.3290167,195.0,12.0
1697587869.8336022,12.647625923156738,9.0,0.18831168115139008,0.4029114842414856,1697587869.8336022,1697587894.9766614,308.0,58.0
1697587895.3853717,12.668034553527832,9.0,0.06234414130449295,0.35311228036880493,1697587895.3853717,1697587929.9605846,401.0,25.0
1697587931.050986,14.352598190307617,9.0,0.048101264983415604,0.35578402876853943,1697587931.050986,1697587979.056232,395.0,19.0
1697588176.9120336,14.70583724975586,8.0,0.7720588445663452,0.5,1697588176.9120336,1697588186.9760647,136.0,105.0
1697588187.3551228,13.170199394226074,8.0,0.21985815465450287,0.4210759699344635,1697588187.3551228,1697588209.8301058,282.0,62.0
1697588210.1287386,13.815889358520508,8.0,0.05945945903658867,0.36760732531547546,1697588210.1287386,1697588242.9170737,370.0,22.0
1697588244.291019,15.807266235351562,8.0,0.06371191143989563,0.37216147780418396,1697588244.291019,1697588281.4891016,361.0,23.0
1697588281.9960957,15.165099143981934,8.0,0.0672043040394783,0.3666177988052368,1697588281.9960957,1697588321.0330985,372.0,25.0
1697588360.6895046,16.454750061035156,1.0,0.0,0.5,1697588360.6895046,1697588377.6450949,69.0,0.0
1697588377.9353397,15.576167106628418,1.0,0.0625,0.5,1697588377.9353397,1697588392.573087,80.0,5.0
1697588393.0535142,16.284936904907227,1.0,0.07058823853731155,0.5,1697588393.0535142,1697588409.817472,85.0,6.0
1697588410.5255156,15.63266658782959,1.0,0.07692307978868484,0.5,1697588410.5255156,1697588427.477198,78.0,6.0
1697588427.755834,14.481789588928223,1.0,0.06976744532585144,0.5,1697588427.755834,1697588443.9831107,86.0,6.0
1697588444.3110964,15.580958366394043,1.0,0.06329113990068436,0.5,1697588444.3110964,1697588460.9339502,79.0,5.0
1697588461.225143,16.06223487854004,1.0,0.0602409653365612,0.5,1697588461.225143,1697588477.6612124,83.0,5.0
1697588478.0549717,14.152697563171387,1.0,0.0625,0.5,1697588478.0549717,1697588494.8008955,80.0,5.0
1697588495.139268,14.718778610229492,1.0,0.07594936341047287,0.5,1697588495.139268,1697588511.8526113,79.0,6.0
1697588512.3567204,15.476425170898438,1.0,0.0595238097012043,0.5,1697588512.3567204,1697588528.3810928,84.0,5.0
1697588528.9946797,15.680575370788574,1.0,0.06896551698446274,0.5,1697588528.9946797,1697588545.1930647,87.0,6.0
1697588546.1770182,15.864914894104004,1.0,0.06329113990068436,0.5,1697588546.1770182,1697588562.0611246,79.0,5.0
1697588562.4529834,16.21504020690918,1.0,0.0731707289814949,0.5,1697588562.4529834,1697588578.54915,82.0,6.0
1697588578.9349382,14.253520011901855,1.0,0.0714285746216774,0.5,1697588578.9349382,1697588595.5624094,84.0,6.0
1697588595.972603,12.645673751831055,1.0,0.0625,0.5,1697588595.972603,1697588613.765249,80.0,5.0
1697588614.0386608,15.6749906539917,1.0,0.0476190485060215,0.5,1697588614.0386608,1697588629.5410626,84.0,4.0
1697588630.430086,13.140311241149902,1.0,0.06172839552164078,0.5,1697588630.430086,1697588647.6290693,81.0,5.0
1697588648.0820296,13.875483512878418,1.0,0.060975611209869385,0.5,1697588648.0820296,1697588666.1714888,82.0,5.0
1697588666.8396947,14.394369125366211,1.0,0.0595238097012043,0.5,1697588666.8396947,1697588682.9571087,84.0,5.0
1697588683.2906919,16.021907806396484,1.0,0.06410256773233414,0.5,1697588683.2906919,1697588701.7029808,78.0,5.0
1697588702.0482445,14.923044204711914,1.0,0.0602409653365612,0.5,1697588702.0482445,1697588717.5276601,83.0,5.0
1697588718.1251593,20.795644760131836,1.0,0.07228915393352509,0.5,1697588718.1251593,1697588735.8211725,83.0,6.0
1697588736.2112582,20.130144119262695,1.0,0.0625,0.5,1697588736.2112582,1697588753.449088,80.0,5.0
1697588753.6402667,16.49178695678711,1.0,0.06493506580591202,0.5,1697588753.6402667,1697588769.4056902,77.0,5.0
1697588769.7220585,18.51595687866211,1.0,0.07228915393352509,0.5,1697588769.7220585,1697588786.950441,83.0,6.0
1697588787.5267391,19.041616439819336,1.0,0.07058823853731155,0.5,1697588787.5267391,1697588805.4348829,85.0,6.0
1697588805.7248673,20.073837280273438,1.0,0.060975611209869385,0.5,1697588805.7248673,1697588818.129073,82.0,5.0
1697588818.6308794,22.013500213623047,1.0,0.05882352963089943,0.5,1697588818.6308794,1697588833.9850943,85.0,5.0
1697588834.4360611,20.18320655822754,1.0,0.06172839552164078,0.5,1697588834.4360611,1697588851.1331115,81.0,5.0
1697588851.4285307,18.04957389831543,1.0,0.0731707289814949,0.5,1697588851.4285307,1697588866.7751536,82.0,6.0
1697588867.1534734,21.059192657470703,1.0,0.06976744532585144,0.5,1697588867.1534734,1697588883.298442,86.0,6.0
1697588883.8594213,22.842060089111328,1.0,0.058139536529779434,0.5,1697588883.8594213,1697588901.764986,86.0,5.0
1697588902.1647532,21.024660110473633,1.0,0.05882352963089943,0.5,1697588902.1647532,1697588921.285157,85.0,5.0
1697588921.4695377,20.1063232421875,1.0,0.0714285746216774,0.5,1697588921.4695377,1697588937.7330782,84.0,6.0
1697588938.0628998,21.7216796875,1.0,0.05681818351149559,0.5,1697588938.0628998,1697588955.7410905,88.0,5.0
1697588956.2987955,21.193592071533203,1.0,0.058139536529779434,0.5,1697588956.2987955,1697588973.2850623,86.0,5.0
1697588973.707155,19.719045639038086,1.0,0.06741572916507721,0.5,1697588973.707155,1697588990.087258,89.0,6.0
1697588990.7828577,22.802024841308594,1.0,0.06818182021379471,0.5,1697588990.7828577,1697589008.1935923,88.0,6.0
1697589008.6227458,22.542633056640625,1.0,0.06976744532585144,0.5,1697589008.6227458,1697589025.701496,86.0,6.0
1697589025.8774881,20.99297332763672,1.0,0.0602409653365612,0.5,1697589025.8774881,1697589044.3598623,83.0,5.0
1697589044.8135438,22.370750427246094,1.0,0.06172839552164078,0.5,1697589044.8135438,1697589062.2023218,81.0,5.0
1697589062.5403183,23.345970153808594,1.0,0.07058823853731155,0.5,1697589062.5403183,1697589079.1598883,85.0,6.0
1697589080.0221355,22.96709442138672,1.0,0.06329113990068436,0.5,1697589080.0221355,1697589097.1771128,79.0,5.0
1697589097.7846649,23.714393615722656,1.0,0.0602409653365612,0.5,1697589097.7846649,1697589114.5677211,83.0,5.0
1697589114.7250245,24.42626953125,1.0,0.06329113990068436,0.5,1697589114.7250245,1697589130.241106,79.0,5.0
1697589130.4898107,24.149749755859375,1.0,0.060975611209869385,0.5,1697589130.4898107,1697589147.1359453,82.0,5.0
1697589147.678143,22.579971313476562,1.0,0.06172839552164078,0.5,1697589147.678143,1697589164.1972075,81.0,5.0
1697589164.815411,23.540000915527344,1.0,0.06976744532585144,0.5,1697589164.815411,1697589182.147611,86.0,6.0
1697589182.9692302,24.433578491210938,1.0,0.060975611209869385,0.5,1697589182.9692302,1697589197.825834,82.0,5.0
1697589198.132633,23.0718936920166,1.0,0.0602409653365612,0.5,1697589198.132633,1697589214.386175,83.0,5.0
1697589214.672777,23.77212142944336,1.0,0.05747126415371895,0.5,1697589214.672777,1697589230.1530955,87.0,5.0
1697589230.522054,21.483293533325195,1.0,0.05882352963089943,0.5,1697589230.522054,1697589247.6050954,85.0,5.0
1697589248.1987154,24.098209381103516,1.0,0.0602409653365612,0.5,1697589248.1987154,1697589265.1709309,83.0,5.0
1697589265.670688,23.18608856201172,1.0,0.0602409653365612,0.5,1697589265.670688,1697589283.2674468,83.0,5.0
1697589457.7748017,19.242603302001953,1.0,0.0,0.5,1697589457.7748017,1697589467.9085655,58.0,0.0
1697589468.1598938,19.8616943359375,1.0,0.0555555559694767,0.5,1697589468.1598938,1697589482.0056415,72.0,4.0
1697589482.283937,18.42409324645996,1.0,0.0714285746216774,0.5,1697589482.283937,1697589495.8531258,70.0,5.0
1697589496.2243092,21.785507202148438,1.0,0.05797101557254791,0.5,1697589496.2243092,1697589512.7490559,69.0,4.0
1697589512.9928288,20.73344612121582,1.0,0.0694444477558136,0.5,1697589512.9928288,1697589529.7290719,72.0,5.0
1697589529.9415781,21.5299072265625,1.0,0.0,0.5,1697589529.9415781,1697589546.5696104,60.0,0.0
1697589546.974017,22.620914459228516,1.0,0.050632912665605545,0.5,1697589546.974017,1697589562.667459,79.0,4.0
1697589563.0545363,21.823986053466797,1.0,0.04878048598766327,0.5,1697589563.0545363,1697589579.0002947,82.0,4.0
1697589579.7543998,20.300819396972656,1.0,0.06493506580591202,0.5,1697589579.7543998,1697589594.729165,77.0,5.0
1697589611.1677663,21.438743591308594,2.0,0.01785714365541935,0.5,1697589611.1677663,1697589627.120193,112.0,2.0
1697589627.719709,22.404556274414062,2.0,0.057692307978868484,0.5,1697589627.719709,1697589639.9939983,104.0,6.0
1697589640.205879,20.79461097717285,2.0,0.05882352963089943,0.5,1697589640.205879,1697589659.2492752,119.0,7.0
1697589660.0890431,21.699657440185547,2.0,0.07017543911933899,0.5,1697589660.0890431,1697589680.8266969,114.0,8.0
1697589681.3923628,23.334918975830078,2.0,0.06060606241226196,0.5,1697589681.3923628,1697589700.3339326,99.0,6.0
1697589700.7508063,21.970287322998047,2.0,0.0810810774564743,0.5,1697589700.7508063,1697589719.5944374,111.0,9.0
1697589719.9143507,21.41791534423828,2.0,0.06542056053876877,0.5,1697589719.9143507,1697589738.7770638,107.0,7.0
1697589739.1244936,21.61741828918457,2.0,0.06796116381883621,0.5,1697589739.1244936,1697589755.1763642,103.0,7.0
1697589775.2270515,22.233858108520508,1.0,0.06329113990068436,0.5,1697589775.2270515,1697589790.4290917,79.0,5.0
1697589790.7149212,21.659893035888672,1.0,0.04878048598766327,0.5,1697589790.7149212,1697589807.5663438,82.0,4.0
1697589808.0642107,19.747711181640625,1.0,0.0731707289814949,0.5,1697589808.0642107,1697589823.357123,82.0,6.0
1697589823.8911767,20.268648147583008,1.0,0.06329113990068436,0.5,1697589823.8911767,1697589841.0605505,79.0,5.0
1697589841.4932568,19.65431022644043,1.0,0.06329113990068436,0.5,1697589841.4932568,1697589859.5554519,79.0,5.0
1697589859.8098235,19.45123291015625,1.0,0.0625,0.5,1697589859.8098235,1697589877.1352034,80.0,5.0
1697589877.648512,19.38827133178711,1.0,0.06172839552164078,0.5,1697589877.648512,1697589894.9785771,81.0,5.0
1697589895.3178701,18.222204208374023,1.0,0.0625,0.5,1697589895.3178701,1697589912.7691069,80.0,5.0
1697589912.9614482,20.02938461303711,1.0,0.07594936341047287,0.5,1697589912.9614482,1697589929.5370946,79.0,6.0
1697589947.6678572,21.349288940429688,4.0,0.05056179687380791,0.5,1697589947.6678572,1697589961.3451273,178.0,9.0
1697589961.7424803,18.059436798095703,4.0,0.060301508754491806,0.5,1697589961.7424803,1697589985.165137,199.0,12.0
1697589986.158638,18.26336669921875,4.0,0.05970149114727974,0.49875468015670776,1697589986.158638,1697590011.345671,201.0,12.0
1697590011.652891,17.617305755615234,4.0,0.0615384615957737,0.5,1697590011.652891,1697590040.2611253,195.0,12.0
1697590041.1459072,15.023364067077637,4.0,0.06382978707551956,0.5,1697590041.1459072,1697590068.0373545,188.0,12.0
1697590093.5352056,17.964609146118164,2.0,0.06730769574642181,0.5,1697590093.5352056,1697590113.073621,104.0,7.0
1697590114.7035153,19.26700210571289,2.0,0.07000000029802322,0.5,1697590114.7035153,1697590132.9730926,100.0,7.0
1697590133.3900383,19.893735885620117,2.0,0.0555555559694767,0.5,1697590133.3900383,1697590149.1739016,108.0,6.0
1697590150.0764432,17.0787296295166,2.0,0.07070706784725189,0.5,1697590150.0764432,1697590169.8085907,99.0,7.0
1697590170.3863986,19.26090431213379,2.0,0.08490566164255142,0.5,1697590170.3863986,1697590189.07711,106.0,9.0
1697590189.7486384,17.621675491333008,2.0,0.0776699036359787,0.5,1697590189.7486384,1697590206.7731266,103.0,8.0
1697590207.1885333,17.458097457885742,2.0,0.05999999865889549,0.5,1697590207.1885333,1697590225.9763758,100.0,6.0
1697590263.6746407,13.830497741699219,1.0,0.0,0.5,1697590263.6746407,1697590281.3168118,73.0,0.0
1697590281.626411,15.33242416381836,1.0,0.0714285746216774,0.5,1697590281.626411,1697590296.3011944,84.0,6.0
1697590296.5335417,14.709406852722168,1.0,0.05882352963089943,0.5,1697590296.5335417,1697590315.2290604,85.0,5.0
1697590315.5803425,12.041707992553711,1.0,0.0602409653365612,0.5,1697590315.5803425,1697590331.8571029,83.0,5.0
1697590332.1403255,14.134265899658203,1.0,0.058139536529779434,0.5,1697590332.1403255,1697590349.7570875,86.0,5.0
1697590350.1693115,12.650679588317871,1.0,0.0595238097012043,0.5,1697590350.1693115,1697590367.32254,84.0,5.0
1697590367.6031659,14.472580909729004,1.0,0.06493506580591202,0.5,1697590367.6031659,1697590384.5317292,77.0,5.0
1697590385.0242682,12.833538055419922,1.0,0.0602409653365612,0.5,1697590385.0242682,1697590403.8811097,83.0,5.0
1697590421.0436926,12.071102142333984,3.0,0.0699300691485405,0.5,1697590421.0436926,1697590434.7955437,143.0,10.0
