,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586896.127713,14.52553653717041,3.0,0.0,0.5,1697586896.127713,1697586908.3131492,114.0,0.0
1697586908.7545645,18.20953369140625,3.0,0.050724636763334274,0.5,1697586908.7545645,1697586930.7210808,138.0,7.0
1697586931.1303782,18.68610954284668,3.0,0.06428571790456772,0.5,1697586931.1303782,1697586953.3393884,140.0,9.0
1697586954.5302098,14.607161521911621,3.0,0.06382978707551956,0.5,1697586954.5302098,1697586978.2172208,141.0,9.0
1697586978.4161925,10.901850700378418,3.0,0.06428571790456772,0.5,1697586978.4161925,1697586997.3120675,140.0,9.0
1697586998.1712818,12.8944091796875,3.0,0.06338027864694595,0.5,1697586998.1712818,1697587022.678027,142.0,9.0
1697587023.316104,10.981614112854004,3.0,0.06474819779396057,0.5,1697587023.316104,1697587044.1691408,139.0,9.0
1697587044.420344,12.392163276672363,3.0,0.05797101557254791,0.5,1697587044.420344,1697587071.5342538,138.0,8.0
1697587072.106143,11.75507640838623,3.0,0.06521739065647125,0.5,1697587072.106143,1697587093.0332725,138.0,9.0
1697587093.6360242,12.366827011108398,3.0,0.06338027864694595,0.5,1697587093.6360242,1697587114.8217342,142.0,9.0
1697587115.5877473,11.887012481689453,3.0,0.0559440553188324,0.5,1697587115.5877473,1697587136.1984773,143.0,8.0
1697587136.7156358,14.051758766174316,3.0,0.06293706595897675,0.5,1697587136.7156358,1697587158.4211042,143.0,9.0
1697587159.3708081,12.980769157409668,3.0,0.06293706595897675,0.5,1697587159.3708081,1697587183.0211787,143.0,9.0
1697587183.8259037,13.349525451660156,3.0,0.06428571790456772,0.5,1697587183.8259037,1697587206.6731577,140.0,9.0
1697587228.1863563,13.029975891113281,5.0,0.05752212554216385,0.4703604280948639,1697587228.1863563,1697587254.126543,226.0,13.0
1697587254.674522,12.07945442199707,5.0,0.055793993175029755,0.4632410407066345,1697587254.674522,1697587288.2025275,233.0,13.0
1697587289.0362427,12.589595794677734,5.0,0.06355932354927063,0.46028730273246765,1697587289.0362427,1697587322.3971238,236.0,15.0
1697587322.969183,11.497669219970703,5.0,0.05982905998826027,0.4622501730918884,1697587322.969183,1697587359.0634556,234.0,14.0
1697587391.1328437,11.660882949829102,8.0,0.11075949668884277,0.39777863025665283,1697587391.1328437,1697587419.261073,316.0,35.0
1697587419.6490753,13.013619422912598,8.0,0.06504064798355103,0.36810508370399475,1697587419.6490753,1697587460.145112,369.0,24.0
1697587461.550808,12.546026229858398,8.0,0.053619302809238434,0.36612600088119507,1697587461.550808,1697587508.7370625,373.0,20.0
1697587539.7144709,11.876652717590332,1.0,0.0,0.5,1697587539.7144709,1697587558.2382092,73.0,0.0
1697587558.450405,12.905269622802734,1.0,0.05747126415371895,0.5,1697587558.450405,1697587575.2652414,87.0,5.0
1697587575.6735368,12.627948760986328,1.0,0.06451612710952759,0.5,1697587575.6735368,1697587593.9662938,93.0,6.0
1697587594.398849,12.5695161819458,1.0,0.06593406945466995,0.5,1697587594.398849,1697587613.413105,91.0,6.0
1697587613.5988317,11.23265552520752,1.0,0.060975611209869385,0.5,1697587613.5988317,1697587631.4930859,82.0,5.0
1697587632.6321404,11.544854164123535,1.0,0.06521739065647125,0.5,1697587632.6321404,1697587652.6410553,92.0,6.0
1697587652.9377787,12.04797649383545,1.0,0.06818182021379471,0.5,1697587652.9377787,1697587672.9411383,88.0,6.0
1697587673.2179413,12.080933570861816,1.0,0.05882352963089943,0.5,1697587673.2179413,1697587691.9251046,85.0,5.0
1697587692.155013,11.918566703796387,1.0,0.07228915393352509,0.5,1697587692.155013,1697587711.0331223,83.0,6.0
1697587711.5245993,11.825132369995117,1.0,0.06896551698446274,0.5,1697587711.5245993,1697587730.3827395,87.0,6.0
1697587731.249853,11.555293083190918,1.0,0.05882352963089943,0.5,1697587731.249853,1697587749.0771816,85.0,5.0
1697587749.298493,11.10329532623291,1.0,0.07500000298023224,0.5,1697587749.298493,1697587767.2210994,80.0,6.0
1697587767.5689967,13.008343696594238,1.0,0.06896551698446274,0.5,1697587767.5689967,1697587784.1737244,87.0,6.0
1697587784.6104555,12.858810424804688,1.0,0.05882352963089943,0.5,1697587784.6104555,1697587801.7971158,85.0,5.0
1697587802.0363781,18.792034149169922,1.0,0.058139536529779434,0.5,1697587802.0363781,1697587818.3730874,86.0,5.0
