,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586912.2756195,5.617287635803223,3.0,0.8474576473236084,0.5,1697586912.2756195,1697586924.381106,59.0,50.0
1697586925.1862297,8.553190231323242,3.0,0.22727273404598236,0.5,1697586925.1862297,1697586938.5145898,110.0,25.0
1697586939.0216017,7.482412338256836,3.0,0.06428571790456772,0.5,1697586939.0216017,1697586960.4050794,140.0,9.0
1697586960.9496388,6.797043323516846,3.0,0.10447761416435242,0.5,1697586960.9496388,1697586981.841076,134.0,14.0
1697586982.4528103,8.029667854309082,3.0,0.06428571790456772,0.5,1697586982.4528103,1697587005.865982,140.0,9.0
1697587006.7681925,8.05441665649414,3.0,0.05797101557254791,0.5,1697587006.7681925,1697587029.861113,138.0,8.0
1697587030.7801213,8.67514419555664,3.0,0.058394160121679306,0.5,1697587030.7801213,1697587051.6443272,137.0,8.0
1697587052.310811,8.208836555480957,3.0,0.06428571790456772,0.5,1697587052.310811,1697587077.0402586,140.0,9.0
1697587077.991981,9.065373420715332,3.0,0.057553958147764206,0.5,1697587077.991981,1697587104.0251052,139.0,8.0
1697587105.0500295,8.202637672424316,3.0,0.06870228797197342,0.5,1697587105.0500295,1697587128.3352234,131.0,9.0
1697587129.5589495,7.353033065795898,3.0,0.06382978707551956,0.5,1697587129.5589495,1697587153.3586514,141.0,9.0
1697587153.7827435,8.81637954711914,3.0,0.06716418266296387,0.5,1697587153.7827435,1697587179.7571247,134.0,9.0
1697587229.3017666,9.730825424194336,1.0,0.0,0.5,1697587229.3017666,1697587246.2581904,68.0,0.0
1697587246.9161837,10.522543907165527,1.0,0.05154639109969139,0.5,1697587246.9161837,1697587262.0265977,97.0,5.0
1697587262.3543992,9.354756355285645,1.0,0.0625,0.5,1697587262.3543992,1697587282.3442311,80.0,5.0
1697587282.5780268,7.6388139724731445,1.0,0.07058823853731155,0.5,1697587282.5780268,1697587299.9891064,85.0,6.0
1697587300.3818967,7.6493916511535645,1.0,0.0602409653365612,0.5,1697587300.3818967,1697587318.1610882,83.0,5.0
1697587318.5040016,7.23482084274292,1.0,0.07407407462596893,0.5,1697587318.5040016,1697587336.7490978,81.0,6.0
1697587336.9891994,7.74410343170166,1.0,0.0470588244497776,0.5,1697587336.9891994,1697587355.7131228,85.0,4.0
1697587356.1892612,7.6405930519104,1.0,0.06896551698446274,0.5,1697587356.1892612,1697587368.361091,87.0,6.0
1697587385.5112655,8.616605758666992,4.0,0.5288461446762085,0.5,1697587385.5112655,1697587398.2773125,104.0,55.0
1697587398.6503222,6.034855842590332,4.0,0.2518518567085266,0.5,1697587398.6503222,1697587422.0145924,135.0,34.0
1697587422.328022,7.405960559844971,4.0,0.6228070259094238,0.5,1697587422.328022,1697587438.8012395,114.0,71.0
1697587439.4886966,7.506751537322998,4.0,0.19858156144618988,0.5,1697587439.4886966,1697587459.3374958,141.0,28.0
1697587460.1733098,7.466315269470215,4.0,0.0793650820851326,0.5,1697587460.1733098,1697587487.362089,189.0,15.0
1697587487.906961,7.453673362731934,4.0,0.05347593501210213,0.5,1697587487.906961,1697587517.8250942,187.0,10.0
1697587548.9613566,8.074812889099121,1.0,0.0,0.5,1697587548.9613566,1697587565.8038523,71.0,0.0
1697587567.0816612,8.30571174621582,1.0,0.06521739065647125,0.5,1697587567.0816612,1697587585.0211222,92.0,6.0
1697587585.5073438,7.528565883636475,1.0,0.0602409653365612,0.5,1697587585.5073438,1697587603.9703557,83.0,5.0
1697587604.5503523,8.515069007873535,1.0,0.05681818351149559,0.5,1697587604.5503523,1697587622.048742,88.0,5.0
1697587622.5370896,7.635896682739258,1.0,0.054347824305295944,0.5,1697587622.5370896,1697587639.1690586,92.0,5.0
1697587639.4682598,7.282634735107422,1.0,0.06451612710952759,0.5,1697587639.4682598,1697587658.554759,93.0,6.0
1697587658.764916,8.628806114196777,1.0,0.06493506580591202,0.5,1697587658.764916,1697587675.5690944,77.0,5.0
1697587694.193393,9.028834342956543,4.0,0.4488188922405243,0.5,1697587694.193393,1697587709.1454895,127.0,57.0
1697587709.8111346,8.983559608459473,4.0,0.13953489065170288,0.5,1697587709.8111346,1697587729.625107,172.0,24.0
1697587730.607886,8.910497665405273,4.0,0.0625,0.5,1697587730.607886,1697587758.8891351,192.0,12.0
1697587759.3805845,8.605522155761719,4.0,0.06417112052440643,0.5,1697587759.3805845,1697587784.829359,187.0,12.0
1697587785.1946893,8.335329055786133,4.0,0.06382978707551956,0.5,1697587785.1946893,1697587811.948281,188.0,12.0
1697587812.9695141,7.544117450714111,4.0,0.05820105969905853,0.5,1697587812.9695141,1697587839.2151284,189.0,11.0
1697587839.5959218,8.320600509643555,4.0,0.3333333432674408,0.5,1697587839.5959218,1697587869.7620132,6.0,2.0
1697587880.6321902,7.586841106414795,2.0,1.0,0.5,1697587880.6321902,1697587890.7813418,74.0,74.0
1697587891.1532512,7.316416263580322,2.0,0.06722689419984818,0.5,1697587891.1532512,1697587908.1014395,119.0,8.0
1697587908.483357,7.878716468811035,2.0,0.0683760717511177,0.5,1697587908.483357,1697587929.0450819,117.0,8.0
1697587929.4548542,8.024613380432129,2.0,0.05737704783678055,0.5,1697587929.4548542,1697587950.8889096,122.0,7.0
1697587951.6122077,8.139358520507812,2.0,0.0714285746216774,0.5,1697587951.6122077,1697587970.0411785,126.0,9.0
1697587971.0446637,8.48447322845459,2.0,0.0683760717511177,0.5,1697587971.0446637,1697587994.2635489,117.0,8.0
1697588016.6383286,8.937236785888672,1.0,0.0602409653365612,0.5,1697588016.6383286,1697588034.4290628,83.0,5.0
1697588035.1074903,9.564322471618652,1.0,0.06172839552164078,0.5,1697588035.1074903,1697588054.5547652,81.0,5.0
1697588055.0323553,7.0787482261657715,1.0,0.0602409653365612,0.5,1697588055.0323553,1697588072.690844,83.0,5.0
1697588073.1024535,6.9976911544799805,1.0,0.07228915393352509,0.5,1697588073.1024535,1697588091.5371048,83.0,6.0
1697588091.8414187,7.895988941192627,1.0,0.060975611209869385,0.5,1697588091.8414187,1697588111.0916994,82.0,5.0
1697588111.7848673,8.662936210632324,1.0,0.05882352963089943,0.5,1697588111.7848673,1697588128.0611043,85.0,5.0
1697588128.3645694,7.429123401641846,1.0,0.05882352963089943,0.5,1697588128.3645694,1697588146.6709013,85.0,5.0
1697588146.9547942,7.536508083343506,1.0,0.07058823853731155,0.5,1697588146.9547942,1697588165.9290986,85.0,6.0
1697588177.7399623,7.893743515014648,8.0,0.3181818127632141,0.5,1697588177.7399623,1697588190.5349057,66.0,21.0
1697588190.7611444,7.816615581512451,8.0,0.1818181872367859,0.5,1697588190.7611444,1697588205.9851246,66.0,12.0
1697588206.5408921,8.635567665100098,8.0,0.2142857164144516,0.5,1697588206.5408921,1697588222.6371133,70.0,15.0
1697588223.1741266,9.125128746032715,8.0,0.20588235557079315,0.5,1697588223.1741266,1697588238.2972007,68.0,14.0
1697588238.5599566,7.673088550567627,8.0,0.14492753148078918,0.5,1697588238.5599566,1697588253.417077,69.0,10.0
1697588253.804832,8.435548782348633,8.0,0.16049382090568542,0.5,1697588253.804832,1697588268.1488898,81.0,13.0
1697588268.6673067,8.004776000976562,8.0,0.6393442749977112,0.5,1697588268.6673067,1697588285.032536,122.0,78.0
1697588285.3257143,8.29787540435791,8.0,0.35449734330177307,0.5,1697588285.3257143,1697588308.8257062,189.0,67.0
1697588342.8904867,9.031988143920898,3.0,0.04316546767950058,0.5,1697588342.8904867,1697588372.4520843,139.0,6.0
1697588373.2976274,8.65520191192627,3.0,0.05917159840464592,0.5,1697588373.2976274,1697588396.4051182,169.0,10.0
1697588396.794543,8.238869667053223,3.0,0.06410256773233414,0.5,1697588396.794543,1697588423.1331062,156.0,10.0
1697588423.7178328,8.205476760864258,3.0,0.855555534362793,0.5,1697588423.7178328,1697588435.661075,90.0,77.0
1697588436.1325285,8.615527153015137,3.0,0.08588957041501999,0.5,1697588436.1325285,1697588455.8643444,163.0,14.0
1697588456.4946144,7.551466941833496,3.0,0.06060606241226196,0.5,1697588456.4946144,1697588482.979534,165.0,10.0
1697588512.0668366,8.920957565307617,2.0,0.06060606241226196,0.5,1697588512.0668366,1697588538.1851096,99.0,6.0
1697588538.6899815,8.420829772949219,2.0,0.06930693238973618,0.5,1697588538.6899815,1697588558.165497,101.0,7.0
1697588558.529759,7.79771614074707,2.0,0.06060606241226196,0.5,1697588558.529759,1697588579.3050725,99.0,6.0
1697588580.036916,9.550121307373047,2.0,0.07000000029802322,0.5,1697588580.036916,1697588599.513108,100.0,7.0
