,load,alloc,reward,sigma,event_start_time,event_end_time,num_events,num_successes
1697586913.5574327,6.822812080383301,3.0,0.6753246784210205,0.5,1697586913.5574327,1697586925.8690717,77.0,52.0
1697586926.3575823,11.44498062133789,3.0,0.06896551698446274,0.5,1697586926.3575823,1697586945.4052336,145.0,10.0
1697586946.060597,10.524660110473633,3.0,0.08163265138864517,0.5,1697586946.060597,1697586967.1539145,147.0,12.0
1697586967.8166296,10.20949649810791,3.0,0.05517241358757019,0.5,1697586967.8166296,1697586989.5610917,145.0,8.0
1697586989.820074,10.606534004211426,3.0,0.06164383515715599,0.5,1697586989.820074,1697587011.0334134,146.0,9.0
1697587012.0443397,9.996952056884766,3.0,0.0625,0.5,1697587012.0443397,1697587033.0507426,144.0,9.0
1697587053.3935983,10.293472290039062,4.0,0.06989247351884842,0.5,1697587053.3935983,1697587072.6290908,186.0,13.0
1697587073.8310843,10.248358726501465,4.0,0.06185567006468773,0.5,1697587073.8310843,1697587101.1525326,194.0,12.0
1697587101.7462478,11.228925704956055,4.0,0.0714285746216774,0.5,1697587101.7462478,1697587130.8674664,196.0,14.0
1697587131.961581,9.63250732421875,4.0,0.06315789371728897,0.5,1697587131.961581,1697587158.8496997,190.0,12.0
1697587159.750497,9.980116844177246,4.0,0.0634920671582222,0.5,1697587159.750497,1697587185.2010999,189.0,12.0
1697587211.5724356,11.094019889831543,2.0,0.06060606241226196,0.5,1697587211.5724356,1697587232.3043253,99.0,6.0
1697587232.6763637,10.889312744140625,2.0,0.07070706784725189,0.5,1697587232.6763637,1697587250.675663,99.0,7.0
1697587250.9638455,10.431885719299316,2.0,0.07000000029802322,0.5,1697587250.9638455,1697587269.2730954,100.0,7.0
1697587269.4995687,11.993276596069336,2.0,0.034090910106897354,0.5,1697587269.4995687,1697587286.5090992,88.0,3.0
1697587287.0842996,15.744965553283691,2.0,0.07000000029802322,0.5,1697587287.0842996,1697587304.6137128,100.0,7.0
1697587304.9668279,15.062481880187988,2.0,0.034090910106897354,0.5,1697587304.9668279,1697587322.0954788,88.0,3.0
1697587322.3618774,16.08962631225586,2.0,0.06185567006468773,0.5,1697587322.3618774,1697587337.5890808,97.0,6.0
1697587337.94426,14.9637451171875,2.0,0.023255813866853714,0.5,1697587337.94426,1697587353.916197,86.0,2.0
1697587354.327552,14.517814636230469,2.0,0.03488372266292572,0.5,1697587354.327552,1697587369.481348,86.0,3.0
1697587387.57975,12.474912643432617,6.0,0.41450777649879456,0.5,1697587387.57975,1697587403.8524091,193.0,80.0
1697587404.1911159,12.626564025878906,6.0,0.06451612710952759,0.4233337640762329,1697587404.1911159,1697587432.148049,279.0,18.0
1697587432.8553257,14.05256175994873,6.0,0.053956832736730576,0.42409446835517883,1697587432.8553257,1697587468.2937028,278.0,15.0
1697587468.8788664,12.552949905395508,6.0,0.06360424309968948,0.42033135890960693,1697587468.8788664,1697587502.2574744,283.0,18.0
1697587531.192512,11.65422248840332,1.0,0.07228915393352509,0.5,1697587531.192512,1697587554.78911,83.0,6.0
1697587555.0969408,11.961347579956055,1.0,0.060975611209869385,0.5,1697587555.0969408,1697587571.3994522,82.0,5.0
1697587571.752891,11.606270790100098,1.0,0.0714285746216774,0.5,1697587571.752891,1697587586.917107,84.0,6.0
1697587587.3922415,11.455000877380371,1.0,0.0731707289814949,0.5,1697587587.3922415,1697587604.5899708,82.0,6.0
1697587604.922239,13.275911331176758,1.0,0.07594936341047287,0.5,1697587604.922239,1697587620.5143893,79.0,6.0
1697587620.6900752,11.606550216674805,1.0,0.0625,0.5,1697587620.6900752,1697587637.5770917,80.0,5.0
1697587638.1076925,12.944040298461914,1.0,0.06172839552164078,0.5,1697587638.1076925,1697587653.9450972,81.0,5.0
1697587654.3033435,12.565876960754395,1.0,0.06329113990068436,0.5,1697587654.3033435,1697587670.935689,79.0,5.0
1697587671.272147,12.241353988647461,1.0,0.05263157933950424,0.5,1697587671.272147,1697587687.610209,76.0,4.0
1697587700.1841407,12.471139907836914,9.0,0.5329341292381287,0.5,1697587700.1841407,1697587714.4570944,167.0,89.0
1697587715.397682,12.459635734558105,9.0,0.21908126771450043,0.42033135890960693,1697587715.397682,1697587738.7530997,283.0,62.0
1697587739.4140308,12.56089973449707,9.0,0.0882352963089943,0.3656361997127533,1697587739.4140308,1697587769.985088,374.0,33.0
1697587770.2736018,12.63672161102295,9.0,0.23174603283405304,0.39840954542160034,1697587770.2736018,1697587795.6757607,315.0,73.0
1697587795.988906,11.582184791564941,9.0,0.05707196146249771,0.35223498940467834,1697587795.988906,1697587832.7695312,403.0,23.0
1697587873.5600777,10.712437629699707,1.0,0.060975611209869385,0.5,1697587873.5600777,1697587890.5496755,82.0,5.0
1697587891.2825449,13.429693222045898,1.0,0.07058823853731155,0.5,1697587891.2825449,1697587907.5152311,85.0,6.0
